qtid,semester_en,semester_kor,chapter_order,chapter_name,genre_order,genre_name,genre_subtitle,1,2,3,4,5,total_output_question,1,2,3,4,5,total_input_question
EXEP-01-01,,,,,1,교과 외 유형,,10,60,129,125,8,332,0,0,0,0,0,0
H1S1-01-01,H1S1,고등수학(상),1,다항식의 연산,1,다항식의 덧셈과 뺄셈,,13,28,11,2,0,54,2,3,5,1,0,11
H1S1-01-02,H1S1,고등수학(상),1,다항식의 연산,2,곱셈공식을 이용한 식의 전개,,8,26,27,5,2,68,3,2,14,3,3,25
H1S1-01-03,H1S1,고등수학(상),1,다항식의 연산,3,치환을 이용한 식의 전개,,0,3,8,1,0,12,0,4,5,0,0,9
H1S1-01-04,H1S1,고등수학(상),1,다항식의 연산,4,곱셈공식의 활용 (1),문자가 2개인 경우,0,1,37,9,0,47,1,0,12,3,4,20
H1S1-01-05,H1S1,고등수학(상),1,다항식의 연산,5,x±1/x 꼴의 활용,,0,0,9,2,0,11,0,0,6,1,3,10
H1S1-01-06,H1S1,고등수학(상),1,다항식의 연산,6,곱셈공식의 활용 (2),문자가 3개인 경우,0,1,25,6,0,32,0,0,8,4,3,15
H1S1-01-07,H1S1,고등수학(상),1,다항식의 연산,7,곱셈공식의 활용 (3),도형,0,1,15,10,0,26,0,0,3,2,1,6
H1S1-01-08,H1S1,고등수학(상),1,다항식의 연산,8,다항식의 나눗셈,,1,16,24,3,0,44,1,0,16,0,2,19
H1S1-01-09,H1S1,고등수학(상),1,다항식의 연산,9,조립제법,,0,9,4,2,0,15,0,0,5,1,0,6
H1S1-02-01,H1S1,고등수학(상),2,나머지정리와 인수분해,1,항등식과 계수비교법,,2,7,19,4,0,32,1,2,7,0,1,11
H1S1-02-02,H1S1,고등수학(상),2,나머지정리와 인수분해,2,항등식과 수치대입법,,0,8,17,5,2,32,1,0,8,1,0,10
H1S1-02-03,H1S1,고등수학(상),2,나머지정리와 인수분해,3,주어진 조건을 만족하는 항등식,,0,0,16,11,0,27,0,0,11,1,0,12
H1S1-02-04,H1S1,고등수학(상),2,나머지정리와 인수분해,4,복잡한 항등식의 계수의 합,,0,2,2,6,0,10,0,0,7,1,1,9
H1S1-02-05,H1S1,고등수학(상),2,나머지정리와 인수분해,5,항등식과 다항식의 나눗셈,,0,2,12,9,0,23,0,0,9,0,0,9
